,Ticker,Latest_Price,Score,SMA_150,SMA_200,52_Week_Low,52_Week_High
0,FANG,207.1000061035156,91,165.03,159.44,123.41,211.96
0,MLM,597.0700073242188,94,505.74,490.41,345.03,626.67
0,RCL,137.47000122070312,99,114.78,111.34,59.38,141.7
0,IT,446.30999755859375,86,429.64,409.36,293.73,486.54
0,VMC,258.5400085449219,88,231.46,228.15,166.55,276.58
0,CDW,243.4199981689453,84,225.61,219.0,162.59,263.37
0,MPWR,660.3400268554688,86,592.55,573.23,383.19,778.15
0,FICO,1193.6600341796875,94,1123.8,1058.41,714.63,1349.75
0,HIG,99.08999633789062,83,84.47,81.23,67.05,103.64
0,WAB,163.17999267578125,95,126.1,122.53,91.89,167.49
0,GRMN,143.02999877929688,89,124.72,119.39,95.4,149.54
0,HWM,64.80000305175781,87,55.98,54.21,42.18,69.55
0,TRGP,117.68000030517578,93,92.54,89.93,67.36,117.87
0,RJF,121.9499969482422,79,110.72,109.41,82.0,131.19
0,CAH,103.80999755859376,70,102.63,99.18,77.56,116.04
0,FITB,36.81999969482422,87,31.11,29.91,22.46,37.41
0,NVR,7725.0,73,6877.39,6720.53,5210.49,8211.4
0,BRO,82.27999877929688,70,76.48,75.21,61.71,87.99
0,PHM,111.36000061035156,95,96.69,92.63,64.7,121.08
0,AXON,306.239990234375,80,255.57,241.03,175.37,329.87
0,BR,195.55999755859372,79,192.25,188.14,140.06,210.24
0,WDC,69.44000244140625,99,54.04,50.97,32.01,76.92
0,IRM,77.26000213623047,84,67.7,65.75,52.82,82.19
0,BLDR,185.25999450683597,98,160.86,155.76,90.35,214.7
0,CPAY,302.0799865722656,81,271.72,269.29,204.04,319.94
0,DECK,806.5,95,725.05,679.17,424.36,956.17
0,HUBB,402.2699890136719,90,338.12,332.33,248.37,429.61
0,PTC,179.8800048828125,83,167.24,161.4,120.62,194.24
0,STLD,133.02999877929688,70,120.21,115.85,90.55,151.34
0,NTAP,100.94000244140624,94,87.4,84.62,61.54,112.48
0,WRB,77.91000366210938,77,74.96,71.44,55.5,89.19
0,CBOE,181.69000244140625,73,176.88,169.24,130.92,199.0
0,EXPE,136.25,86,130.63,125.81,87.94,160.05
0,STX,87.26000213623047,92,80.41,76.05,54.47,101.26
0,SYF,44.65999984741211,91,36.03,35.26,26.59,45.33
0,LDOS,129.8800048828125,81,111.27,107.0,76.58,131.5
0,AVY,217.16000366210935,71,197.75,193.3,158.93,225.26
0,DPZ,494.7699890136719,92,412.44,406.14,285.84,508.44
0,CE,153.88999938964844,90,142.21,137.2,99.33,172.16
0,L,76.41000366210938,76,70.48,68.41,55.64,78.55
0,TXT,84.9000015258789,70,83.31,81.17,61.27,97.34
0,NRG,72.86000061035156,99,52.46,48.6,30.52,76.54
0,MAS,69.87000274658203,75,65.34,63.44,47.66,78.94
0,PKG,171.25,73,165.45,160.0,122.2,191.27
0,NWSA,24.209999084472656,81,23.45,22.65,16.35,28.0
0,NWS,24.940000534057617,83,24.39,23.47,16.49,28.92
0,KEY,14.609999656677246,81,13.05,12.5,8.54,15.86
0,VTRS,11.470000267028809,70,10.72,10.61,8.74,13.62
0,PNR,79.19999694824219,79,70.89,70.01,53.88,85.81
0,WRK,46.810001373291016,94,41.44,39.14,26.85,49.67
0,DVA,132.77000427246094,89,108.86,107.29,71.51,141.54
0,HII,275.9800109863281,80,253.52,244.98,188.51,299.5
0,FFIV,181.8500061035156,77,174.55,170.25,129.93,199.49
0,RL,166.92999267578125,87,144.96,138.62,103.17,192.03
0,BBWI,45.59999847412109,75,39.59,38.73,27.3,50.34
0,AIZ,173.63999938964844,86,166.18,158.54,116.46,189.48
0,CMA,52.150001525878906,75,48.0,47.67,28.4,57.39
